
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=as-733  mode=live_update  decoder=dot
  node_features=learned  loss=margin  seed=4
==================================================================
  snapshot filter (>= 10 edges): 733 -> 733
  T=733  N=7716  start_compute_mrr=0
  edge features: learned (raw dim 1)
Snapshot 0671 | MRR 0.9080
Snapshot 0672 | MRR 0.9114
Snapshot 0673 | MRR 0.9113
Snapshot 0674 | MRR 0.9120
Snapshot 0675 | MRR 0.9158
Snapshot 0676 | MRR 0.9054
Snapshot 0677 | MRR 0.9166
Snapshot 0678 | MRR 0.9021
Snapshot 0679 | MRR 0.9143
Snapshot 0680 | MRR 0.9173
Snapshot 0681 | MRR 0.9088
Snapshot 0682 | MRR 0.9064
Snapshot 0683 | MRR 0.8971
Snapshot 0684 | MRR 0.9040
Snapshot 0685 | MRR 0.9075
Snapshot 0686 | MRR 0.9076
Snapshot 0687 | MRR 0.8989
Snapshot 0688 | MRR 0.8951
Snapshot 0689 | MRR 0.9103
Snapshot 0690 | MRR 0.9015
Snapshot 0691 | MRR 0.8782
Snapshot 0692 | MRR 0.8962
Snapshot 0693 | MRR 0.8823
